Id,SalePrice
1461,122796.64569752541
1462,155148.03373038283
1463,187371.87691292257
1464,181969.26047441154
1465,184765.21409640848
1466,185487.27778928753
1467,174295.9688827009
1468,171811.91865994013
1469,175427.72534930808
1470,128935.25134080417
1471,202233.9951361927
1472,95650.09417710765
1473,98740.92574039391
1474,151202.1752283101
1475,117901.90907561571
1476,405464.1827161016
1477,251883.9472568278
1478,284173.2833627205
1479,285537.14934542327
1480,499983.9556710066
1481,310465.2152904455
1482,207837.6513779489
1483,178164.91904900587
1484,175396.04418399138
1485,174096.83861789765
1486,194751.30288357852
1487,319390.1768459464
1488,224016.39663791485
1489,219249.61112977634
1490,239398.04336450965
1491,183723.317191032
1492,92533.19079769016
1493,174449.47491546348
1494,285376.71817198256
1495,286544.9611375585
1496,253718.4135302743
1497,184201.80979108138
1498,158888.34518176524
1499,159614.42001071997
1500,162687.74039379897
1501,174908.47820719838
1502,147767.20157556003
1503,277659.8840292254
1504,234859.5691162439
1505,213894.73962884812
1506,190023.88287692337
1507,256808.5931893873
1508,196433.85667817006
1509,165070.73718826118
1510,153139.93401053434
1511,151104.91055261908
1512,167124.81788368154
1513,144091.49055885506
1514,147870.22955376146
1515,191996.26067326157
1516,149166.96165169566
1517,158236.78255862472
1518,123451.20816124926
1519,230894.297364977
1520,139169.49297424115
1521,143637.33271910346
1522,161815.51585709
1523,118536.25813229773
1524,119351.55245810183
1525,125042.73283235592
1526,119454.62140758206
1527,107651.61886072444
1528,131417.06520656805
1529,145665.22865273326
1530,168878.9422519028
1531,124219.67736274295
1532,96951.95224922142
1533,145395.9578178822
1534,119469.00316445889
1535,155265.38928267066
1536,111970.46596503822
1537,71142.11104678163
1538,137077.87236357154
1539,180981.60652832635
1540,96199.09661096863
1541,138029.3925241901
1542,142803.95135457462
1543,206009.3184367641
1544,80180.51200254081
1545,105388.72175075256
1546,130166.14126975715
1547,131796.66088957601
1548,124046.35456122844
1549,111653.00585985894
1550,135057.63123899212
1551,106117.5818737117
1552,141788.76853553223
1553,150441.04623703798
1554,119007.53247359602
1555,165451.83315310383
1556,80489.30160208669
1557,108074.60723878368
1558,99936.33873230546
1559,98581.1283592787
1560,138822.29974508128
1561,137290.67953213167
1562,129259.61302862808
1563,123907.03079934079
1564,163319.79401604
1565,151193.3391775887
1566,227325.48985767915
1567,76682.00423966617
1568,227775.27131229808
1569,134006.09308557725
1570,133187.519972879
1571,117791.33523815658
1572,150167.19187206056
1573,250484.68161708448
1574,112630.85899955196
1575,215885.6895982127
1576,231769.9742399753
1577,196738.5125246562
1578,140069.54172548532
